"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Jan 02 14:25:48 GMT 2025","Thu Jan 02 14:25:51 GMT 2025","3154","tests","test_profile_management","TestProfileManagement","","","TC07: Successful account deletion.","
    This test verifies that a user can successfully delete their account by accessing the account settings and following the deletion process.
    "
"passed","Thu Jan 02 14:27:39 GMT 2025","Thu Jan 02 14:27:48 GMT 2025","9169","tests","test_task_management","TestTaskManagement","","","TC15: Successful change of task due date and time.","
    This test verifies that the due date and time of an existing task can be successfully updated.
    "
"passed","Thu Jan 02 14:29:26 GMT 2025","Thu Jan 02 14:29:28 GMT 2025","1926","tests","test_task_management","TestTaskManagement","","","TC22: Unsuccessful task creation with invalid information.","
    This test verifies that a user cannot create a task with invalid information (when the task name is missing).
    "
"passed","Thu Jan 02 14:25:55 GMT 2025","Thu Jan 02 14:25:59 GMT 2025","4237","tests","test_authorization","TestAuthorization","","","TC09: Unsuccessful login to an existing account with invalid information.","
    This test verifies that a user cannot login to an existing account using invalid credentials, such as incorrect email or password.
    "
"passed","Thu Jan 02 14:28:51 GMT 2025","Thu Jan 02 14:28:59 GMT 2025","7704","tests","test_task_management","TestTaskManagement","","","TC20: Successful addition of a label to a task.","
    This test verifies that a user can successfully add a label to a task.
    It ensures that the label is visible in the task's details and can be used to filter tasks.
    "
"passed","Thu Jan 02 14:31:13 GMT 2025","Thu Jan 02 14:31:20 GMT 2025","7387","tests","test_projects_management","TestProjectsManagement","","","TC27: Unsuccessful creation of a new Project due to invalid information.","
    This test verifies that the system prevents the creation of a new project when invalid information is provided.
    "
"passed","Thu Jan 02 14:25:27 GMT 2025","Thu Jan 02 14:25:39 GMT 2025","12175","tests","test_profile_management","TestProfileManagement","","","TC06: Successful email and username change.","
    This test verifies that a user can successfully change their email address and username through the account settings.
    "
"skipped","Thu Jan 02 14:24:43 GMT 2025","Thu Jan 02 14:24:43 GMT 2025","0","tests","test_authorization","TestAuthorization","","","TC04: Ability to login using a Google account.","
    This test verifies that a user can successfully login using a Google account, including the authorization process via Google's login page.
    "
"passed","Thu Jan 02 14:33:11 GMT 2025","Thu Jan 02 14:33:19 GMT 2025","8054","tests","test_task_filtering","TestTaskFiltering","","","TC33: Successful filtering for a task by its priority.","
    This test verifies that a user can successfully filter tasks by their priority, ensuring the filtered tasks match the specified priority and display correctly in the task list.
    "
"passed","Thu Jan 02 14:29:08 GMT 2025","Thu Jan 02 14:29:20 GMT 2025","12380","tests","test_task_management","TestTaskManagement","","","TC21: Successful task duplication.","
    This test verifies that a user can successfully duplicate a task.
    It ensures that the duplicated task has the same details as the original task and appears in the task list.
    "
"passed","Thu Jan 02 14:32:54 GMT 2025","Thu Jan 02 14:33:01 GMT 2025","7163","tests","test_task_search","TestTaskSearch","","","TC32: Successful search for a task by its description.","
    This test verifies that a user can successfully search for a task by its description, ensuring that the correct task is displayed in the search results.
    "
"passed","Thu Jan 02 14:24:58 GMT 2025","Thu Jan 02 14:25:08 GMT 2025","10113","tests","test_profile_management","TestProfileManagement","","","TC05: Successful password change.","
    This test verifies that a user can successfully change their password through the account settings by entering the current password and a new one.
    "
"broken","Thu Jan 02 14:29:55 GMT 2025","Thu Jan 02 14:30:20 GMT 2025","24912","tests","test_projects_management","TestProjectsManagement","","","TC24: Successful creation of a new Task Board with sections.","
    This test verifies that a new Task Board can be successfully created with multiple sections.
    "
"passed","Thu Jan 02 14:27:02 GMT 2025","Thu Jan 02 14:27:11 GMT 2025","9025","tests","test_task_management","TestTaskManagement","","","TC13: Successful change of name, description, and priority for a task.","
    This test verifies that the name, description, and priority of a task can be successfully updated.
    "
"passed","Thu Jan 02 14:24:29 GMT 2025","Thu Jan 02 14:24:34 GMT 2025","5239","tests","test_authorization","TestAuthorization","","","TC02: Successful login to an existing account with valid information.","
    This test verifies that a user can successfully login to an existing account using valid email and password credentials.
    "
